Ehemaliges Regierungsmitglied,Datum,Kontakt zu:,Beteiligte (Gesprächsthema)
Ronald Pofalla,24.02.2020,Verkehrsministerium,St Michael Güntner (BHO-Anträge allgemein)
Steffen Kampeter,24.01.2019,Wirtschaftsministerium,St Ulrich Nußbaum (Mindestausbildungsvergütung)
Ronald Pofalla,24.01.2018,Bundeskanzleramt,BM Peter Altmaier (Stuttgart 21)
Ronald Pofalla,23.11.2018,Wirtschaftsministerium,St Ulrich Nußbaum (Kohlekommission)
Eckart von Klaeden,23.11.2017,Bundeskanzleramt,StM Helge Braun (Automobilthemen)
Ronald Pofalla,23.09.2019,Wirtschaftsministerium,"BM Peter Altmaier, (insb. verkehrspolitische Themen)"
Ronald Pofalla,23.09.2019,Wirtschaftsministerium,BM Peter Altmaier (Bahnprojekte)
Katherina Reiche,23.09.2015,Bildungsministerium,St Georg Schütte (Energieforschung)
Ronald Pofalla,23.08.2018,Finanzministerium,"St Werner Gatzer (Bundeshaushalt, u. a. Digitalisierung Schiene, Investitionen, Beteiligungsmanagement)"
Steffen Kampeter,23.07.2020,Wirtschaftsministerium,BM Peter Altmaier (Werkverträge)
Eckart von Klaeden,23.07.2019,Entwicklungshilfeministerium,PSt Norbert Barthle (Lieferketten)
Dirk Niebel,23.05.2019,Bundeskanzleramt,BM Helge Braun (deutsch-französische Gemeinschaftsprojekte im Verteidigungsbereich)
Uwe Beckmeyer,23.04.2020,Umweltministerium,PSt Florian Pronol (ElektroG)
Hildegard Müller,23.03.2021,"Bundeskanzleramt, Finanzministerium","BK’in Angela Merkel, BM Olaf Scholz (Konzertierte Aktion Mobilität)"
Hildegard Müller,23.03.2021,Verkehrsministerium,BM Andreas Scheuer (Konzertierte Aktion Mobilität)
Hildegard Müller,23.03.2021,Wirtschaftsministerium,BM Peter Altmaier (Konzertierte Aktion Mobilität)
Franz Josef Jung,23.03.2021,Verteidigungsministerium,Videokonferenz mit BM ́in Kramp-Karrenbauer und BM a.D.Jung in dessen Funktion als Vorsitzender Bundesarbeitsgemeinschaft für Soldatenbetreuung e.V. (BAS) gemeinsam mit dem Geschäftsführer der BAS
Katherina Reiche,23.03.2020,Bundeskanzleramt,"StM Hendrik Hoppenstedt (Gesetz zur AInnenministeriumlderung der Folgen der COVID-19-Pandemie im Zivil-, Insolvenz- und Strafverfahrensrecht)"
Ronald Pofalla,23.02.2021,Auswärtiges Amt,"St Miguel Berger (Videokonferenz auf Einladung des Koordinators für die zwischengesellschaftliche Zusammenarbeit mit Russland, Zentralasien und den Ländern der Östlichen Partnerschaft mit Vertreterinnen und Vertretern verschiedener NGOs zu Russland)"
Eckart von Klaeden,23.02.2018,Bundeskanzleramt,StM Helge Braun (Automobilthemen)
Steffen Kampeter,23.01.2019,Bildungsministerium,St Christian Luft (BBiG-Novelle)
Eckart von Klaeden,23.01.2017,Justizministerium,PSt Christian Lange (automatisiertes Fahren)
Ronald Pofalla,22.10.2018,Finanzministerium,"St Werner Gatzer (Bundeshaushalt, u. a. Digitalisierung Schiene, Investitionen, Beteiligungsmanagement)"
Ronald Pofalla,22.08.2018,Wirtschaftsministerium,St Ulrich Nußbaum (Kohlekommission)
Maria Böhmer,22.07.2019,Bildungsministerium,St Christian Luft (Bildung für nachhaltige Entwicklung)
Ronald Pofalla,22.07.2019,Finanzministerium,"BM Olaf Scholz, St Werner Gatzer (Investitionsprioritäten Sektor Schiene sowie Digitalisierung)"
Hildegard Müller,22.06.2021,Wirtschaftsministerium,BM Peter Altmaier (Tage der Deutschen Industrie)
Steffen Kampeter,22.06.2021,Wirtschaftsministerium,BM Peter Altmaier (Tag der Deutschen Industrie)
Ronald Pofalla,22.06.2018,Umweltministerium,BM’in Svenja Schulze (Arbeit der Strukturwandelkommission)
Katherina Reiche,22.05.2018,Wirtschaftsministerium,"PSt Thomas Bareiß, (Energiepolitik)"
Eckart von Klaeden,22.05.2014,Bundeskanzleramt,BM Peter Altmaier
